cou,country,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,change
SLB,Solomon Islands,3.256,3.2270000000000003,3.226,3.199,3.183,3.186,3.2199999999999998,3.311,3.4490000000000003,3.511,3.553,3.5789999999999997,3.5669999999999997,3.545,3.5380000000000003,3.505,3.521,3.558,3.5549999999999997,3.547,3.51,3.585,3.348,3.183,3.15,3.3160000000000003,3.1479999999999997,3.191,0.06499999999999995
ZAF,South Africa,10.603,10.462,10.544,10.144,10.346,10.33,10.8,11.687999999999999,12.126999999999999,12.478,13.309000000000001,13.193999999999999,13.521,13.748999999999999,13.74,13.672,13.737,13.605,13.414000000000001,13.085,12.581,11.879000000000001,11.55,11.363,11.341000000000001,11.269,11.076,10.888,-0.28500000000000014
SWE,Sweden,7.487,7.463000000000001,7.176,7.018,6.66,6.574,6.5280000000000005,6.4670000000000005,6.4239999999999995,6.383,6.205,6.175000000000001,6.022,5.806,5.696999999999999,5.429,5.4239999999999995,5.41,5.3469999999999995,5.261,5.073,5.182,4.436,4.199,4.649,4.0009999999999994,3.7779999999999996,3.87,3.617
PNG,Papua New Guinea,4.461,4.379,4.351,4.300000000000001,4.321,4.226,4.305,4.388,4.463,4.537,4.619,4.68,4.795,4.85,4.878,4.984,5.098,5.242,5.323,5.417,5.527,5.765000000000001,5.559,5.390000000000001,5.266,5.3260000000000005,5.203,5.144,-0.6829999999999998
PRY,Paraguay,2.036,2.041,2.128,2.231,2.2800000000000002,2.2969999999999997,2.346,2.296,2.303,2.3280000000000003,2.3280000000000003,2.3360000000000003,2.403,2.537,2.665,2.69,2.7649999999999997,2.7720000000000002,2.831,2.95,3.003,2.9459999999999997,2.867,2.835,2.826,2.956,2.803,2.968,-0.9319999999999999
PER,Peru,8.888,8.513,8.425,7.957000000000001,7.412,7.091,6.793,6.473,6.261,5.829000000000001,5.585,5.359,5.413,5.596,5.5809999999999995,5.5120000000000005,5.453,5.4239999999999995,5.589,5.856999999999999,5.8309999999999995,5.7989999999999995,5.59,5.4559999999999995,5.093999999999999,4.806,4.805,4.724,4.164
LCA,Saint Lucia,5.4079999999999995,5.609,5.8260000000000005,5.974,6.254,6.448,6.664,6.8420000000000005,6.92,6.99,6.993,7.177,7.481,7.813000000000001,8.038,8.183,8.318999999999999,8.407,8.446,8.653,8.86,9.163,9.183,9.275,9.453,9.847000000000001,9.878,10.267,-4.859
VCT,Saint Vincent and the Grenadines,3.861,4.009,4.179,4.415,4.704,4.964,5.38,5.87,6.225,6.417,6.593999999999999,6.9559999999999995,7.341,7.788,8.208,8.528,8.927,9.321,9.635,9.997,10.359,11.131,11.384,11.690999999999999,11.729,12.216999999999999,12.258,12.655000000000001,-8.794
SGP,Singapore,8.527999999999999,8.41,8.254999999999999,8.156,8.15,8.106,7.93,7.643,7.538,7.363,7.257,7.198,7.122,6.843999999999999,6.856,6.868,6.679,6.606,6.561,6.254,6.1209999999999996,5.923,6.037,5.671,5.409,5.775,5.459,5.534000000000001,2.993999999999998
SVN,Slovenia,9.862,10.312000000000001,10.603,11.145,10.998000000000001,10.693,10.631,10.729,10.763,10.616,10.383,10.462,10.378,10.646,10.296,9.799,9.728,9.541,9.351,9.105,8.902,8.968,8.652000000000001,8.58,8.059000000000001,8.437,8.15,8.296,1.5660000000000007
